date,sku,price,promo_flag,discount_pct,is_weekend,is_holiday,sales
2023-07-23,SKU_01,24.89,0,0.0,1,0,43
2023-07-24,SKU_01,26.0,1,0.286,0,0,72
2023-07-25,SKU_01,25.19,0,0.0,0,0,32
2023-07-26,SKU_01,26.79,0,0.0,0,0,29
2023-07-27,SKU_01,28.05,0,0.0,0,0,26
2023-07-28,SKU_01,27.69,0,0.0,0,0,29
2023-07-29,SKU_01,27.95,0,0.0,1,0,38
2023-07-30,SKU_01,27.38,0,0.0,1,0,38
2023-07-31,SKU_01,25.23,0,0.0,0,0,39
2023-08-01,SKU_01,25.97,0,0.0,0,0,33
2023-08-02,SKU_01,23.1,0,0.0,0,0,29
2023-08-03,SKU_01,21.72,0,0.0,0,0,28
2023-08-04,SKU_01,20.39,0,0.0,0,0,32
2023-08-05,SKU_01,18.08,0,0.0,1,0,36
2023-08-06,SKU_01,18.16,0,0.0,1,0,49
2023-08-07,SKU_01,17.88,0,0.0,0,0,45
2023-08-08,SKU_01,18.86,0,0.0,0,0,34
2023-08-09,SKU_01,17.71,0,0.0,0,0,29
2023-08-10,SKU_01,16.0,0,0.0,0,0,33
2023-08-11,SKU_01,19.06,0,0.0,0,0,30
2023-08-12,SKU_01,18.04,0,0.0,1,0,42
2023-08-13,SKU_01,18.23,0,0.0,1,0,41
2023-08-14,SKU_01,18.17,0,0.0,0,0,38
2023-08-15,SKU_01,16.75,0,0.0,0,0,34
2023-08-16,SKU_01,17.68,0,0.0,0,0,28
2023-08-17,SKU_01,17.63,0,0.0,0,0,22
2023-08-18,SKU_01,16.15,0,0.0,0,0,30
2023-08-19,SKU_01,16.45,0,0.0,1,0,43
2023-08-20,SKU_01,16.91,0,0.0,1,0,38
2023-08-21,SKU_01,18.75,0,0.0,0,0,42
2023-08-22,SKU_01,17.39,0,0.0,0,0,34
2023-08-23,SKU_01,17.2,0,0.0,0,0,30
2023-08-24,SKU_01,14.88,0,0.0,0,0,24
2023-08-25,SKU_01,14.56,0,0.0,0,0,29
2023-08-26,SKU_01,14.24,0,0.0,1,0,39
2023-08-27,SKU_01,13.59,0,0.0,1,0,41
2023-08-28,SKU_01,13.67,0,0.0,0,0,39
2023-08-29,SKU_01,13.42,0,0.0,0,0,40
2023-08-30,SKU_01,12.77,0,0.0,0,0,27
2023-08-31,SKU_01,12.33,0,0.0,0,0,22
2023-09-01,SKU_01,11.14,0,0.0,0,0,37
2023-09-02,SKU_01,13.27,0,0.0,1,0,45
2023-09-03,SKU_01,12.41,0,0.0,1,0,43
2023-09-04,SKU_01,12.3,0,0.0,0,0,42
2023-09-05,SKU_01,11.85,0,0.0,0,0,38
2023-09-06,SKU_01,11.89,0,0.0,0,0,29
2023-09-07,SKU_01,13.53,0,0.0,0,0,22
2023-09-08,SKU_01,14.58,0,0.0,0,0,31
2023-09-09,SKU_01,15.02,0,0.0,1,0,37
2023-09-10,SKU_01,14.73,0,0.0,1,0,44
2023-09-11,SKU_01,12.25,0,0.0,0,0,39
2023-09-12,SKU_01,10.83,0,0.0,0,0,39
2023-09-13,SKU_01,10.6,0,0.0,0,0,34
2023-09-14,SKU_01,11.01,0,0.0,0,0,31
2023-09-15,SKU_01,11.32,0,0.0,0,0,28
2023-09-16,SKU_01,12.06,0,0.0,1,0,38
2023-09-17,SKU_01,12.99,0,0.0,1,0,36
2023-09-18,SKU_01,12.93,0,0.0,0,0,39
2023-09-19,SKU_01,12.34,0,0.0,0,0,31
2023-09-20,SKU_01,12.59,0,0.0,0,0,28
2023-09-21,SKU_01,12.65,0,0.0,0,0,22
2023-09-22,SKU_01,13.14,0,0.0,0,0,30
2023-09-23,SKU_01,12.65,0,0.0,1,0,37
2023-09-24,SKU_01,12.87,0,0.0,1,0,40
2023-09-25,SKU_01,13.72,0,0.0,0,0,33
2023-09-26,SKU_01,12.98,0,0.0,0,0,35
2023-09-27,SKU_01,13.71,0,0.0,0,0,25
2023-09-28,SKU_01,11.9,0,0.0,0,0,27
2023-09-29,SKU_01,10.65,0,0.0,0,0,29
2023-09-30,SKU_01,11.02,0,0.0,1,0,36
2023-10-01,SKU_01,10.68,0,0.0,1,0,38
2023-10-02,SKU_01,10.77,0,0.0,0,0,35
2023-10-03,SKU_01,10.65,0,0.0,0,0,34
2023-10-04,SKU_01,10.46,1,0.232,0,0,42
2023-10-05,SKU_01,9.99,0,0.0,0,0,27
2023-10-06,SKU_01,10.87,0,0.0,0,0,27
2023-10-07,SKU_01,11.83,0,0.0,1,0,30
2023-10-08,SKU_01,11.14,0,0.0,1,0,34
2023-10-09,SKU_01,11.43,0,0.0,0,0,30
2023-10-10,SKU_01,12.13,0,0.0,0,0,28
2023-10-11,SKU_01,12.47,0,0.0,0,0,28
2023-10-12,SKU_01,12.19,0,0.0,0,0,25
2023-10-13,SKU_01,12.49,0,0.0,0,0,31
2023-10-14,SKU_01,12.55,0,0.0,1,0,33
2023-10-15,SKU_01,12.53,0,0.0,1,0,29
2023-10-16,SKU_01,11.61,0,0.0,0,0,37
2023-10-17,SKU_01,10.88,0,0.0,0,0,31
2023-10-18,SKU_01,11.32,0,0.0,0,0,24
2023-10-19,SKU_01,13.25,0,0.0,0,0,22
2023-10-20,SKU_01,13.2,0,0.0,0,0,21
2023-10-21,SKU_01,13.78,0,0.0,1,0,31
2023-10-22,SKU_01,13.5,0,0.0,1,0,27
2023-10-23,SKU_01,12.17,0,0.0,0,0,28
2023-10-24,SKU_01,9.8,0,0.0,0,0,29
2023-10-25,SKU_01,10.1,0,0.0,0,0,24
2023-10-26,SKU_01,10.63,0,0.0,0,0,24
2023-10-27,SKU_01,11.76,0,0.0,0,0,23
2023-10-28,SKU_01,12.85,0,0.0,1,0,31
2023-10-29,SKU_01,14.17,0,0.0,1,0,33
2023-10-30,SKU_01,12.71,0,0.0,0,0,24
2023-10-31,SKU_01,12.05,0,0.0,0,0,27
2023-11-01,SKU_01,11.85,0,0.0,0,0,25
2023-11-02,SKU_01,12.37,0,0.0,0,0,26
2023-11-03,SKU_01,12.3,0,0.0,0,0,19
2023-11-04,SKU_01,11.58,0,0.0,1,0,28
2023-11-05,SKU_01,12.26,0,0.0,1,0,34
2023-11-06,SKU_01,12.42,0,0.0,0,0,47
2023-11-07,SKU_01,11.23,0,0.0,0,0,28
2023-11-08,SKU_01,9.45,0,0.0,0,0,26
2023-11-09,SKU_01,10.69,0,0.0,0,0,25
2023-11-10,SKU_01,9.83,0,0.0,0,0,23
2023-11-11,SKU_01,8.77,0,0.0,1,0,35
2023-11-12,SKU_01,8.91,0,0.0,1,0,39
2023-11-13,SKU_01,8.54,0,0.0,0,0,35
2023-11-14,SKU_01,7.59,0,0.0,0,0,26
2023-11-15,SKU_01,7.82,0,0.0,0,0,26
2023-11-16,SKU_01,7.5,0,0.0,0,0,0
2023-11-17,SKU_01,7.73,0,0.0,0,0,22
2023-11-18,SKU_01,6.51,0,0.0,1,0,30
2023-11-19,SKU_01,6.38,0,0.0,1,0,41
2023-11-20,SKU_01,6.6,0,0.0,0,0,37
2023-11-21,SKU_01,6.45,0,0.0,0,0,28
2023-11-22,SKU_01,5.72,0,0.0,0,0,27
2023-11-23,SKU_01,6.34,0,0.0,0,0,21
2023-11-24,SKU_01,6.42,0,0.0,0,0,27
2023-11-25,SKU_01,6.04,0,0.0,1,0,31
2023-11-26,SKU_01,6.23,0,0.0,1,0,40
2023-11-27,SKU_01,5.94,0,0.0,0,0,44
2023-11-28,SKU_01,6.1,0,0.0,0,0,34
2023-11-29,SKU_01,6.6,0,0.0,0,0,24
2023-11-30,SKU_01,6.39,0,0.0,0,0,22
2023-12-01,SKU_01,6.52,0,0.0,0,0,24
2023-12-02,SKU_01,6.19,0,0.0,1,0,35
2023-12-03,SKU_01,6.64,0,0.0,1,0,41
2023-12-04,SKU_01,6.22,0,0.0,0,0,38
2023-12-05,SKU_01,6.21,0,0.0,0,0,0
2023-12-06,SKU_01,5.57,0,0.0,0,0,27
2023-12-07,SKU_01,5.99,0,0.0,0,0,28
2023-12-08,SKU_01,6.1,0,0.0,0,0,28
2023-12-09,SKU_01,6.12,0,0.0,1,0,36
2023-12-10,SKU_01,6.43,0,0.0,1,0,41
2023-12-11,SKU_01,6.93,0,0.0,0,0,10
2023-12-12,SKU_01,7.17,0,0.0,0,0,29
2023-12-13,SKU_01,6.69,0,0.0,0,0,23
2023-12-14,SKU_01,7.07,0,0.0,0,0,24
2023-12-15,SKU_01,7.41,0,0.0,0,0,25
2023-12-16,SKU_01,7.14,0,0.0,1,0,37
2023-12-17,SKU_01,7.26,0,0.0,1,0,33
2023-12-18,SKU_01,7.45,0,0.0,0,0,5
2023-12-19,SKU_01,7.89,0,0.0,0,0,29
2023-12-20,SKU_01,7.33,0,0.0,0,0,26
2023-12-21,SKU_01,7.51,0,0.0,0,0,25
2023-12-22,SKU_01,8.02,0,0.0,0,0,26
2023-12-23,SKU_01,8.22,0,0.0,1,0,28
2023-12-24,SKU_01,8.05,0,0.0,1,0,36
2023-12-25,SKU_01,7.78,0,0.0,0,0,34
2023-12-26,SKU_01,7.92,0,0.0,0,0,26
2023-12-27,SKU_01,6.82,0,0.0,0,0,25
2023-12-28,SKU_01,7.36,0,0.0,0,0,19
2023-12-29,SKU_01,7.18,0,0.0,0,0,30
2023-12-30,SKU_01,8.05,0,0.0,1,0,38
2023-12-31,SKU_01,8.0,0,0.0,1,0,38
